20220916	19:46:58	26579c1c-f3be-4277-aa9b-420eed80f177	/new-page	GET
20220916	19:46:58	cded75c8-31fe-4fcf-8802-07fd696375d7	/css/style.css	GET
20220916	19:46:58	c4893aaa-0014-40ee-90a9-31852100a05b	/img/img1.jpg	GET
20220916	19:46:58	cdc4caaa-3760-409d-a8bf-67b9371dbdde	/favicon.ico	GET
20220916	19:48:21	f7e51cd1-9e4a-4f74-b24b-b5d6c6fb944d	/new-page	GET
20220916	19:49:05	67d80765-95dc-45f2-ad73-d7dcf4aeaf82	/new-page	GET
20220916	19:49:05	f7db94df-9c7d-4578-b312-83f63c27dfa1	/css/style.css	GET
20220916	19:49:05	13e74f4d-ff7a-48cd-b331-ec9e9279ae9e	/img/img1.jpg	GET
20220916	19:49:19	5734a7d2-4fa6-4a05-9404-eb659465d001	/	GET
20220916	19:49:19	67fe019f-ffca-4b8c-92ac-7e28769a95b2	/css/style.css	GET
20220919	10:27:33	770d5090-5de4-487d-8d0d-d8fde666a9e0	GET	undefined	/
20220919	10:27:33	7af0e351-315e-4f3f-8818-211c86deaf99	GET	undefined	/css/style.css
20220919	10:30:49	3a46e0f1-9d7e-422d-83be-9899f8f6e191	GET	undefined	/
20220919	10:30:49	e635f164-ac75-479a-a6d7-7bc604c911fc	GET	undefined	/css/style.css
20220919	10:31:10	6b234735-86a1-41b6-9a52-c08fb389d3b9	GET	undefined	/index
20220919	10:31:10	61c078d3-ba0e-4a2c-811b-b427b16781e1	GET	undefined	/css/style.css
20220919	10:32:41	1b91efb9-a049-469b-917b-6f0bc493a9e4	OPTIONS	https://www.google.ca	/
20220919	10:32:41	3f6f4b83-d2cb-4425-ac19-9c4680a86596	GET	https://www.google.ca	/
20220919	10:32:56	04c3036d-6ba7-4ff8-afdb-a2703504a609	OPTIONS	https://www.google.ca	/
20220919	10:32:56	467f456c-1560-44ca-9b7f-7cd0b147bbba	GET	https://www.google.ca	/
20220919	10:35:22	d5e14f64-ca20-4101-82de-fb7486c5ea23	OPTIONS	https://www.google.ca	/
20220919	10:35:22	3e862228-ea86-4f7e-b229-9a1c26d804da	GET	https://www.google.ca	/
20220919	10:40:53	08e3fe52-d3f2-4f9b-a0db-b5584f2435b3	OPTIONS	https://www.google.ca	/
20220919	10:40:53	fb1b7a57-f054-4425-85cc-6672d30ce93a	GET	https://www.google.ca	/
20220919	10:42:05	f702023b-61d1-4998-821d-1ea8d1e51dbd	OPTIONS	https://www.google.ca	/
20220919	10:42:05	66c81dda-f6b8-4a3c-a225-fedac8fe5b74	GET	https://www.google.ca	/
20220919	10:42:15	3c3a6888-8a5b-4934-aae4-7de80102537f	OPTIONS	https://www.google.ca	/
20220919	10:42:15	a5cce32c-f315-44b6-b465-fc0e85f6f468	GET	https://www.google.ca	/
20220919	10:43:50	2c7bb23b-190a-440a-b64e-5b6dda432aed	OPTIONS	https://www.google.ca	/
20220919	10:43:50	5ed02f78-eeb6-4c0d-8088-c495b2a40f33	GET	https://www.google.ca	/
20220919	10:46:11	8c15ba3c-24c9-4a24-a9a4-06f8886d0ee5	GET	undefined	/
20220919	10:47:04	6c7c753c-dc46-4d88-82eb-895f108266d6	GET	undefined	/
20220919	10:47:04	57b8c89a-6e15-4d17-a352-ba3e2c5c785d	GET	undefined	/css/style.css
20220919	10:51:36	40a68cf3-e409-49ea-b505-4017b61d5b2d	GET	undefined	/
20220919	10:52:35	bdb46b4c-7b57-4a7b-9c45-031a2c2fa4d0	GET	undefined	/
20220919	10:52:35	1ec86114-f871-4387-a4b7-806119f2af6e	GET	undefined	/css/style.css
